予想,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
結果,神戸,横浜FM,広島,浦和,鹿島,名古屋,福岡,川崎,C大阪,新潟,F東京,札幌,京都,鳥栖,湘南,G大阪,柏,横浜FC
Gota,浦和,横浜FM,鹿島,川崎,C大阪,広島,F東京,柏,G大阪,鳥栖,名古屋,札幌,神戸,新潟,湘南,福岡,京都,横浜FC
Yuda(仮),浦和,広島,横浜FM,神戸,鹿島,川崎,柏,名古屋,鳥栖,新潟,京都,F東京,札幌,C大阪,湘南,G大阪,横浜FC,福岡
Noah,浦和,横浜FM,川崎,鹿島,C大阪,名古屋,広島,柏,F東京,鳥栖,札幌,新潟,神戸,京都,G大阪,福岡,湘南,横浜FC
Kondo,川崎,鹿島,横浜FM,F東京,浦和,広島,柏,神戸,C大阪,名古屋,札幌,G大阪,福岡,京都,湘南,鳥栖,新潟,横浜FC
Yuda妻,浦和,横浜FM,鳥栖,広島,川崎,C大阪,柏,鹿島,名古屋,F東京,神戸,福岡,京都,札幌,湘南,新潟,G大阪,横浜FC
沖長さん,横浜FM,川崎,F東京,浦和,C大阪,広島,鹿島,名古屋,鳥栖,札幌,神戸,G大阪,柏,湘南,京都,福岡,新潟,横浜FC
"岩本輝雄
(元平塚ほか)",川崎,横浜FM,F東京,C大阪,広島,鹿島,札幌,湘南,G大阪,浦和,柏,神戸,鳥栖,名古屋,横浜FC,新潟,京都,福岡
"播戸竜二
(元G大阪ほか)",横浜FM,川崎,C大阪,鹿島,広島,名古屋,浦和,G大阪,F東京,鳥栖,柏,神戸,札幌,湘南,京都,福岡,新潟,横浜FC
"名良橋晃
(元鹿島ほか)",C大阪,横浜FM,鹿島,川崎,広島,F東京,名古屋,浦和,柏,鳥栖,G大阪,札幌,神戸,湘南,新潟,京都,福岡,横浜FC
"林 陵平
(元東京Vほか)",横浜FM,川崎,C大阪,広島,浦和,柏,名古屋,鹿島,F東京,G大阪,札幌,鳥栖,神戸,湘南,京都,新潟,福岡,横浜FC
"橋本英郎
(元G大阪ほか)",横浜FM,川崎,広島,C大阪,鹿島,浦和,F東京,G大阪,神戸,鳥栖,柏,名古屋,湘南,札幌,京都,福岡,横浜FC,新潟
"財前宣之
(元仙台ほか)",横浜FM,鹿島,C大阪,川崎,F東京,名古屋,浦和,神戸,広島,柏,札幌,G大阪,鳥栖,新潟,湘南,横浜FC,京都,福岡
"松木安太郎
(元V川崎監督)",F東京,川崎,横浜FM,名古屋,浦和,広島,C大阪,鹿島,G大阪,神戸,柏,札幌,京都,鳥栖,湘南,福岡,新潟,横浜FC
"清水秀彦
(元日産監督)",横浜FM,名古屋,川崎,浦和,鹿島,広島,C大阪,F東京,鳥栖,神戸,G大阪,柏,札幌,京都,横浜FC,湘南,福岡,新潟
"早野宏史
(元横浜監督)",川崎,横浜FM,C大阪,広島,名古屋,F東京,鹿島,柏,浦和,札幌,鳥栖,神戸,G大阪,横浜FC,湘南,新潟,京都,福岡
"小島伸幸
(元横浜監督)",横浜FM,広島,川崎,C大阪,名古屋,F東京,鹿島,柏,G大阪,浦和,札幌,神戸,鳥栖,福岡,湘南,京都,横浜FC,新潟
"加地亮
(元G大阪他)",広島,川崎,C大阪,横浜FM,柏,鹿島,名古屋,鳥栖,F東京,神戸,浦和,福岡,G大阪,札幌,湘南,京都,横浜FC,新潟
"名良橋晃
(元鹿島ほか)",C大阪,横浜FM,鹿島,川崎,広島,F東京,名古屋,浦和,柏,鳥栖,G大阪,湘南,神戸,札幌,新潟,京都,横浜FC,福岡
"記者18人
総合ﾗﾝｸ",横浜FM,川崎,広島,C大阪,F東京,鹿島,浦和,名古屋,柏,鳥栖,神戸,札幌,G大阪,湘南,京都,福岡,新潟,横浜FC
"記者4人
総合ﾗﾝｸ",横浜FM,川崎,広島,C大阪,F東京,鹿島,名古屋,浦和,神戸,G大阪,柏,鳥栖,札幌,湘南,福岡,新潟,京都,横浜FC
"ｱｳﾄﾗｲﾄｵｯｽﾞ
(開幕時点)",横浜FM,川崎,広島,名古屋,鹿島,浦和,F東京,C大阪,神戸,柏,新潟,札幌,G大阪,鳥栖,横浜FC,福岡,湘南,京都
去年順位,横浜FM,川崎,広島,鹿島,C大阪,F東京,柏,名古屋,浦和,札幌,鳥栖,湘南,神戸,福岡,G大阪,京都,新潟,横浜FC